"idade","vacina_newcastle","vacina_salmonella","nro_aves","tipo_exploracao","segmento","exploracao","finalidade","materiais_coletados_array"
"11 semanas","Sim, viva","Sim, viva",88100,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{Soros,""Suabe de Arrasto LF"",""Suabe de Arrasto LF"",""Suabe de Arrasto LF"",""Suabe de Arrasto LF"",""Suabe de Arrasto LF"",""Suabe de Arrasto LF"",""Suabe de Arrasto LM"",""Suabe de Arrasto LM""}"
"39 semanas","Sim, viva/inativa","Sim, viva/inativa",15640,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"10 semanas","Sim, viva",Não,9130,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{Soros,""Orgãos - Baço"",""Orgãos - Baço"",""Orgãos - Cecos"",""Orgãos - Cecos"",""Orgãos - Coração"",""Orgãos - Coração"",""Orgãos - Fígado"",""Orgãos - Fígado"",""Orgãos - Tonsilas Cecais"",""Orgãos - Tonsilas Cecais"",""Suabe de Arrasto Misto"",""Suabe de Arrasto Misto""}"
"59 semanas","Sim, viva/inativa","Sim, viva/inativa",15000,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto""}"
"1 dia",Não,Não,19400,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Aves Mortas LF"",""Propé LF"",""Propé LF"",""Propé LF"",""Propé LM"",""Suabe Fundo de Caixa LF""}"
"28 semanas","Sim, inativa.",Não,27121,Avó,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Meconio,""Ovos Bicados ""}"
"53 semanas","Sim, viva/inativa","Sim, viva/inativa",7870,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"48 semanas","Sim, viva/inativa","Sim, viva/inativa",30375,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"12 semanas","Sim, viva","Sim, viva",35170,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Propé LF"",Soros}"
"24 semanas","Sim, viva/inativa","Sim, viva/inativa",10460,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"63 semanas","Sim, viva/inativa","Sim, viva/inativa",31834,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"37 semanas","Sim, viva/inativa","Sim, inativa.",44457,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"65 semanas","Sim, inativa.","Sim, inativa.",27611,Matriz,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Meconio,""Ovos Bicados ""}"
"30 semanas","Sim, viva/inativa","Sim, inativa.",11046,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados - Pool de fígado + baço + bursa (órgãos)"",""Ovos Bicados - Pool de cecos"",""Ovos Bicados - Pool de gema""}"
"60 semanas","Sim, viva/inativa","Sim, viva/inativa",35398,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto""}"
"35 semanas","Sim, inativa.",Não,9867,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"2 dias",Não,Não,37000,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Aves Mortas LF"",""Aves Mortas LM"",""Propé LF"",""Propé LF"",""Propé LF"",""Propé LM"",""Suabe Fundo de Caixa LF"",""Suabe Fundo de Caixa LM""}"
"23 semanas","Sim, inativa.","Sim, inativa.",26503,Matriz,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Soros,""Propé Misto""}"
"5 dias",Não,Não,37540,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Aves Mortas LF"",""Aves Mortas LM"",""Suabe Fundo de Caixa LF"",""Suabe Fundo de Caixa LM"",""Suabe de Arrasto LF"",""Suabe de Arrasto LM""}"
"39 semanas","Sim, viva/inativa","Sim, viva/inativa",37468,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"62 semanas","Sim, inativa.","Sim, inativa.",21761,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"12 semanas","Sim, viva","Sim, viva",28800,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Propé LF"",Soros,""Propé Misto""}"
"30 semanas","Sim, viva/inativa","Sim, viva/inativa",25350,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados - Pool de fígado + baço + bursa (órgãos)"",""Ovos Bicados - Pool de cecos"",""Ovos Bicados - Pool de gema""}"
"61 semanas","Sim, viva/inativa","Sim, viva/inativa",30216,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"51 semanas","Sim, viva/inativa","Sim, viva/inativa",5630,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"24 semanas","Sim, inativa.","Sim, inativa.",24528,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto"",""Propé Misto"",""Propé Misto""}"
"60 semanas","Sim, viva/inativa","Sim, viva/inativa",36049,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto""}"
"2 dias",Não,Não,15500,Avó,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{""Aves Mortas LFF"",""Aves Mortas LFM"",""Aves Mortas LMF"",""Aves Mortas LMM"",""Suabe Fundo de Caixa LFF"",""Suabe Fundo de Caixa LFM"",""Suabe Fundo de Caixa LMF"",""Suabe Fundo de Caixa LMM"",""Suabe de Arrasto Misto"",""Suabe de Arrasto Misto""}"
"1 dia",Não,Não,33824,Avó,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{""Aves Mortas LMM"",""Suabe Fundo de Caixa LMM""}"
"1 dia",Não,Não,58920,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Suabe de Arrasto Misto"",""Suabe de Arrasto Misto"",""Suabe de Arrasto Misto"",""Aves Mortas Misto"",""Suabe Fundo de Caixa Misto"",""Suabe Fundo de Caixa Misto"",""Suabe Fundo de Caixa Misto""}"
"48 semanas","Sim, inativa.","Sim, inativa.",35320,Matriz,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Soros,""Suabe de Arrasto Misto"",""Suabe de Arrasto Misto"",""Suabe de Arrasto Misto"",""Suabe de Arrasto Misto""}"
"10 semanas","Sim, viva/inativa","Sim, viva/inativa",78866,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{Soros,""Suabe de Arrasto LF"",""Suabe de Arrasto LF"",""Suabe de Arrasto LF"",""Suabe de Arrasto LF"",""Suabe de Arrasto LF"",""Suabe de Arrasto LF"",""Suabe de Arrasto LM"",""Suabe de Arrasto Misto""}"
"24 semanas","Sim, viva/inativa","Sim, viva/inativa",25570,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"51 semanas","Sim, inativa.","Sim, inativa.",25198,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"36 semanas","Sim, inativa.",Não,20063,Avó,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Soros,""Fezes Frescas""}"
"70 semanas","Sim, inativa.",Não,23149,Avó,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Soros,""Fezes Frescas""}"
"40 semanas","Sim, viva/inativa","Sim, inativa.",20777,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"63 semanas","Sim, inativa.","Sim, inativa.",23686,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"13 semanas","Sim, viva","Sim, viva",28831,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Propé LF"",""Propé LM"",Soros}"
"48 semanas","Sim, viva/inativa","Sim, viva/inativa",19880,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto""}"
"63 semanas","Sim, viva/inativa","Sim, viva/inativa",37751,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"2 dias",Não,Não,30879,Avó,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{""Aves Mortas LFM"",""Suabe Fundo de Caixa LFM""}"
"28 semanas","Sim, inativa.","Sim, inativa.",13101,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"11 semanas","Sim, viva","Sim, viva",35394,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Propé LF"",""Propé LF"",""Propé LM"",Soros}"
"60 semanas","Sim, viva/inativa","Sim, viva/inativa",29236,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Cloaca""}"
"92 semanas","Sim, viva/inativa","Sim, inativa.",21560,Matriz,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Meconio,""Ovos Bicados ""}"
"49 semanas","Sim, viva/inativa","Sim, inativa.",43922,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"38 semanas","Sim, viva/inativa","Sim, inativa.",11520,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Arrasto Misto""}"
"60 semanas","Sim, viva/inativa","Sim, viva/inativa",27323,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Cloaca""}"
"38 semanas","Sim, viva/inativa","Sim, inativa.",15000,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Arrasto Misto""}"
